Driver ID,Name,Age,Gender,Years of Driving Experience,Location,Occupation,Marital Status,Socioeconomic Status,Driver's License,Accident Type,Accident Location,Date,Time,Weather Conditions,Road Conditions,Accident Severity,Average Speed,Traffic Signal Violations,Distracted Driving Frequency,Traffic Violations,Training Programs,Training Hours,Certifications,Vehicle Type,Vehicle Make,Vehicle Model,Vehicle Year,Road Type,Speed Limit,Traffic Signs Present,Road Conditions,Distance Traveled (km),Seatbelt Usage
1,Ali Hassan,35,Male,15,Lahore,Engineer,Married,Middle Class,Yes,Rear-end Collision,Main Street,5/15/2023,14:30,Sunny,Dry,Property Damage,60,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2018,Urban,50 km/h,Yes,No Construction Zone,500,Yes
2,Fatima Khan,42,Female,20,Karachi,Doctor,Married,Upper Class,Yes,Intersection Collision,Shahrah-e-Faisal,05/12/2023,9:15,Foggy,Wet,Injuries,45,2,Moderate,1,Advanced Driving Course,30,Defensive Driving,Sedan,Honda,Civic,2020,Urban,60 km/h,Yes,No Construction Zone,1200,Yes
3,Usman Ahmed,28,Male,5,Islamabad,Teacher,Single,Lower Class,Yes,Side Swipe Collision,Murree Road,12/15/2022,16:45,Rainy,Wet,Property Damage,55,1,High,3,None,0,None,Hatchback,Suzuki,Mehran,2015,Suburban,40 km/h,Yes,Construction Zone Ahead,800,No
4,Asad Khan,55,Male,30,Peshawar,Business Owner,Married,Upper Middle Class,Yes,Head-on Collision,GT Road,12/14/2022,12:00,Clear,Dry,Fatalities,70,0,Low,4,Defensive Driving Course,40,Defensive Driving,Sedan,Honda,Accord,2019,Highway,100 km/h,Yes,No Construction Zone,1500,Yes
5,Ayesha Malik,31,Female,10,Lahore,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Mall Road,11/28/2022,18:20,Clear,Dry,Fatalities,65,1,Moderate,2,Defensive Driving Course,25,Defensive Driving,Minivan,Changhan,Star,2022,Urban,60 km/h,Yes,No Construction Zone,800,Yes
6,Ahmed Khan,47,Male,25,Karachi,Business Owner,Married,Upper Class,Yes,Intersection Collision,KDA Chowrangi,10/19/2022,8:45,Sunny,Dry,Property Damage,55,1,Moderate,2,None,0,None,SUV,Toyota,Prado,2017,Urban,50 km/h,Yes,No Construction Zone,600,Yes
7,Zara Ahmed,39,Female,17,Islamabad,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,9/14/2022,16:10,Foggy,Wet,Injuries,40,0,Low,1,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2021,Urban,50 km/h,Yes,No Construction Zone,700,Yes
8,Kamran Ali,32,Male,12,Lahore,Engineer,Single,Middle Class,Yes,Side Swipe Collision,Canal Road,9/14/2022,10:30,Sunny,Dry,Property Damage,60,1,Low,3,Defensive Driving Course,25,Defensive Driving,Sedan,Honda,City,2020,Urban,50 km/h,Yes,No Construction Zone,450,Yes
9,Sana Malik,27,Female,8,Karachi,Teacher,Single,Lower Class,Yes,Rear-end Collision,University Road,7/18/2022,17:50,Rainy,Wet,Property Damage,50,0,Low,1,None,0,None,Hatchback,Suzuki,Wagon R,2019,Urban,60 km/h,Yes,No Construction Zone,300,Yes
10,Amir Khan,50,Male,28,Peshawar,Business Owner,Married,Upper Middle Class,Yes,Intersection Collision,Khyber Road,9/14/2022,15:15,Clear,Dry,Property Damage,65,0,Moderate,2,Defensive Driving Course,30,Defensive Driving,Sedan,Toyota,Camry,2018,Highway,100 km/h,Yes,No Construction Zone,1000,Yes
